Abbr.,FullName,CID,CASRN
Al,Aluminum,2124,7429-90-5
Si,Silicon,6517,7440-21-3
P,Phosphorus,14817,7723-14-0
S,Sulfur,402,7704-34-9
Cl,Chlorine,512,7782-50-5
Ar,Argon,23968,7440-37-1
K,Potassium,813,7440-09-07
Ca,Calcium,8714,7440-70-2
Sc,Scandium,23952,7440-20-2
Ti,Titanium,11026,7440-32-6
V,Vanadium,14814,7440-60-2
Cr,Chromium,971,7440-47-3
Mn,Manganese,11726,7439-96-5
Fe,Iron,9291,7439-89-6
Co,Cobalt,6277,7440-48-4
Ni,Nickel,935,7440-02-0
Cu,Copper,8721,7440-50-8
Zn,Zinc,5727,7440-66-6
Ga,Gallium,14770,7440-55-3
Ge,Germanium,14796,7440-56-4
As,Arsenic,234,7440-38-2
Se,Selenium,1091,7782-49-2
Br,Bromine,259,7726-95-6
Rb,Rubidium,11431,7440-17-7
Sr,Strontium,10987,7440-24-6
Y,Yttrium,23993,7440-65-5
Zr,Zirconium,23995,7440-67-7
Nb,Niobium,23936,7440-03-01
Mo,Molybdenum,14802,7439-98-7
Cs,Cesium,6422,7440-46-2
Ba,Barium,10563,7440-39-3
Ta,Tantalum,23956,7440-25-7
W,Tungsten,14811,7440-33-7
Pb,Lead,6511,7439-92-1
Th,Thorium,14808,7440-29-1
U,Uranium,23989,7440-61-1
